                    name                     | num_files |        size_mib        | num_empty |    median_kib    |        avg_kib         | largest_mib | longst_path 
 t1-x2c15-borg-target                        |        94 |     19913.594970703125 |         0 |    0.13525390625 |    216931.077127659570 |         503 |          41
 t1-x2c15-bupstash-cache                     |         3 |    22.8593788146972656 |         0 |               24 |  7802.6679687500000000 |          22 |          48
 t1-x2c15-bupstash-target                    |     44567 |     22719.569927215576 |         1 |    202.740234375 |   522.0194225653229971 |           8 |         101
 t1-x2c15-jmbb-target                        |      1008 |     20551.688836097717 |         0 |    20753.8203125 |     20877.906119210379 |         372 |          73
 t1-x2c15-kopia-cache                        |        95 |   421.6637716293334961 |         1 |            3.625 |  4545.0916015625000000 |          77 |         117
 t1-x2c15-kopia-target                       |      3023 |     28701.787459373474 |         0 |     0.0068359375 |  9722.3388549118218652 |          27 |          66
 t1-x2c80-borg-cache                         |         8 |    60.1538019180297852 |         0 |     0.1298828125 |  7699.6866455078125000 |          41 |         109
 t1-x2c80-borg-target                        |        98 |     20106.395266532898 |         0 |     0.0439453125 |    210091.313805404971 |         503 |          41
 t1-x2c80-bupstash-cache                     |         3 |    23.1796913146972656 |         0 |               24 |  7912.0013020833333330 |          23 |          48
 t1-x2c80-bupstash-target                    |     44860 |     22908.130442619324 |         1 |     203.41796875 |   522.9140787615289229 |           8 |         101
 t1-x2c80-jmbb-target                        |      1026 |     20908.590565681458 |         0 |    20753.8203125 |     20867.833079198648 |         372 |          73
 t1-x2c80-kopia-cache                        |       101 |   453.0518903732299805 |         1 |     4.1611328125 |  4593.3181756652227725 |          77 |         117
 t1-x2c80-kopia-target                       |      3070 |     29135.965050697327 |         0 |     0.0068359375 |  9718.3153784736359932 |          27 |          66
 t1-x2ccb-borg-cache                         |         8 |    60.8172826766967773 |         0 |     0.1298828125 |  7784.6121826171875000 |          42 |         109
 t1-x2ccb-borg-target                        |       104 |     20616.697403907776 |         0 |     0.0166015625 |    202995.174438476563 |         503 |          41
 t1-x2ccb-bupstash-cache                     |         3 |    23.5820350646972656 |         0 |               24 |  8049.3346354166666670 |          23 |          48
 t1-x2ccb-bupstash-target                    |     45757 |     23458.293887138367 |         1 |   205.9091796875 |   524.9752593139779160 |           8 |         101
 t1-x2ccb-jmbb-target                        |      1055 |     21416.039979934692 |         0 |    20699.8046875 |     20786.753497111967 |         372 |          73
 t1-x2ccb-kopia-cache                        |       108 |   481.9731159210205078 |         1 |      6.251953125 |  4569.8191731770833330 |          77 |         117
 t1-x2ccb-kopia-target                       |      3146 |     29874.658547401428 |         0 |     0.0068359375 |  9723.9829474059321357 |          27 |          66
 t1-x2d17-borg-cache                         |         8 |    61.5085487365722656 |         0 |     0.1298828125 |  7873.0942382812500000 |          42 |         109
 t1-x2d17-borg-target                        |       108 |     20880.522822380066 |         0 |     0.0166015625 |    197978.290464048037 |         503 |          41
 t1-x2d17-bupstash-cache                     |         3 |    24.0000038146972656 |         0 |               24 |  8192.0013020833333330 |          23 |          48
 t1-x2d17-bupstash-target                    |     46167 |     23715.557705879211 |         1 |   207.1083984375 |   526.0192581458685313 |           8 |         101
 t1-x2d17-jmbb-target                        |      1076 |     21710.554752349854 |         0 |     20584.421875 |     20661.345786622909 |         372 |          73
 t1-x2d17-kopia-cache                        |       145 |   552.5929555892944336 |         1 |     227.35546875 |  3902.4495622306034482 |          77 |         117
 t1-x2d17-kopia-target                       |      3204 |     30355.089170455933 |         0 |     0.0068359375 |  9701.5016574740558672 |          27 |          66
 t1-x2d6b-borg-cache                         |         8 |    62.1616210937500000 |         0 |     0.1298828125 |  7956.6875000000000000 |          43 |         109
 t1-x2d6b-borg-target                        |       114 |     21270.607092857361 |         0 |     0.0166015625 |    191062.295290227520 |         503 |          41
 t1-x2d6b-bupstash-cache                     |         3 |    24.5703163146972656 |         0 |               24 |  8386.6679687500000000 |          24 |          48
 t1-x2d6b-bupstash-target                    |     46549 |     24056.101597785950 |         1 |   209.3427734375 |   529.1939254577501660 |           8 |         101
 t1-x2d6b-jmbb-target                        |      1102 |     22183.086020469666 |         0 |        20390.875 |     20612.958334810288 |         372 |          73
 t1-x2d6b-kopia-cache                        |       156 |   597.3580379486083984 |         1 |  351.14794921875 |  3921.1194285857371797 |          77 |         117
 t1-x2d6b-kopia-target                       |      3275 |     30947.000555038452 |         0 |     0.0068359375 |  9676.2529979723282441 |          27 |          66
 t1-x2dbf-borg-cache                         |         8 |    64.4489135742187500 |         0 |     0.1298828125 |  8249.4609375000000000 |          45 |         109
 t1-x2dbf-borg-target                        |       118 |     21528.137584686279 |         0 |     0.0166015625 |    186820.448192531777 |         503 |          41
 t1-x2dbf-bupstash-cache                     |         3 |    25.1171913146972656 |         0 |               24 |  8573.3346354166666670 |          25 |          48
 t1-x2dbf-bupstash-target                    |     47106 |     24408.843062400818 |         1 |  211.88818359375 |   530.6044940325741416 |           8 |         101
 t1-x2dbf-jmbb-target                        |      1123 |     22547.100479125977 |         0 |    20319.7109375 |     20559.421986308994 |         372 |          73
 t1-x2dbf-kopia-cache                        |       166 |   650.9570913314819336 |         1 |     403.69921875 |  4015.5425392978162646 |          77 |         117
 t1-x2dbf-kopia-target                       |      3333 |     31427.327695846558 |         0 |     0.0068359375 |  9655.4406122252850283 |          27 |          66
 t1-x2e0c-borg-cache                         |         8 |    64.9139995574951172 |         0 |     0.1298828125 |  8308.9919433593750000 |          46 |         109
 t1-x2e0c-borg-target                        |       123 |     21847.412610054016 |         0 |     0.0166015625 |    181884.150509717988 |         503 |          41
 t1-x2e0c-bupstash-cache                     |         3 |    25.5742225646972656 |         0 |               24 |  8729.3346354166666670 |          25 |          48
 t1-x2e0c-bupstash-target                    |     47782 |     24779.200600624084 |         1 |   211.9755859375 |   531.0347288736148027 |           8 |         101
 t1-x2e0c-jmbb-target                        |      1144 |     22890.029049873352 |         0 |      20299.03125 |     20488.977051634889 |         372 |          73
 t1-x2e0c-kopia-cache                        |       761 |   704.7340545654296875 |         1 |      2.201171875 |   948.2886621222076211 |          77 |         117
 t1-x2e0c-kopia-target                       |      3402 |     32022.332461357117 |         0 |     0.0068359375 |  9638.7032452762161963 |          27 |          66
 t1-x2e57-borg-cache                         |         8 |    65.3982973098754883 |         0 |     0.1298828125 |  8370.9820556640625000 |          46 |         109
 t1-x2e57-borg-target                        |       129 |     22198.280464172363 |         0 |     0.0166015625 |    176209.606165213174 |         503 |          41
 t1-x2e57-bupstash-cache                     |         3 |    25.8242225646972656 |         0 |               24 |  8814.6679687500000000 |          25 |          48
 t1-x2e57-bupstash-target                    |     48482 |     25101.719500541687 |         1 |  211.06494140625 |   530.1794638949442578 |           8 |         101
 t1-x2e57-jmbb-target                        |      1166 |     23235.112549781799 |         0 |    20260.8671875 |     20405.450472535645 |         372 |          73
 t1-x2e57-kopia-cache                        |       770 |   746.5900230407714844 |         1 |       2.39453125 |   992.8677709009740264 |          77 |         117
 t1-x2e57-kopia-target                       |      3475 |     32650.482403755188 |         0 |     0.0068359375 |  9621.3220090490107910 |          27 |          66
 t1-x2eb4-borg-cache                         |         8 |    65.9243402481079102 |         0 |     0.1298828125 |  8438.3155517578125000 |          47 |         109
 t1-x2eb4-borg-target                        |       134 |     23048.450446128845 |         0 |     0.0166015625 |    176131.442215193564 |         503 |          41
 t1-x2eb4-bupstash-cache                     |         3 |    26.1445350646972656 |         0 |               24 |  8924.0013020833333330 |          26 |          48
 t1-x2eb4-bupstash-target                    |     49863 |     26298.154301643372 |         1 |     221.94921875 |   540.0659808852819229 |           8 |         101
 t1-x2eb4-jmbb-target                        |      1221 |     24172.241624832153 |         0 |    19989.2890625 |     20272.215744330979 |         372 |          73
 t1-x2eb4-kopia-cache                        |       777 |   790.3272218704223633 |         1 |     2.5791015625 |  1041.5638033401705273 |          77 |         117
 t1-x2eb4-kopia-target                       |      3631 |     34213.786998748779 |         0 |     0.0068359375 |  9648.8344496609060869 |          27 |          66
 t1-x2efd-borg-cache                         |         8 |    67.2541704177856445 |         0 |     0.1298828125 |  8608.5338134765625000 |          48 |         109
 t1-x2efd-borg-target                        |       140 |     23353.751427650452 |         0 |     0.0166015625 |    170816.010442243301 |         503 |          41
 t1-x2efd-bupstash-cache                     |         3 |    26.3593788146972656 |         0 |               24 |  8997.3346354166666670 |          26 |          48
 t1-x2efd-bupstash-target                    |     50330 |     26631.643229484558 |         1 |  223.64599609375 |   541.8399099342775186 |           8 |         101
