              name               | num_files |        size_mib        | num_empty |  median_kib   |        avg_kib        | largest_mib | longst_path 
 t5kopiavm3-x3288-kopia-target   |      4810 |     37459.068026542664 |         0 |             4 | 7974.6539831974402285 |          27 |          66
 t5kopiavm3-x32e1-kopia-cache    |     23653 |  2897.0894861221313477 |         1 |  4.1142578125 |  125.4225524791384814 |          20 |         108
 t5kopiavm3-x32e1-kopia-target   |      4907 |     38239.773743629456 |         0 |             4 | 7979.9324054364300996 |          27 |          66
 t5kopiavm3-x3333-kopia-cache    |     24385 |  3041.4988431930541992 |         1 |  4.2724609375 |  127.7217476083529834 |          20 |         108
 t5kopiavm3-x3333-kopia-target   |      4984 |     38733.098652839661 |         0 |             4 | 7958.0042175978757021 |          27 |          66
 t5kopiavm3-x338a-kopia-cache    |     24561 |  3131.4037275314331055 |         1 |   4.361328125 |  130.5548396641906885 |          20 |         108
 t5kopiavm3-x338a-kopia-target   |      5093 |     39679.486619949341 |         0 |             4 | 7977.9686430057186338 |          27 |          66
 t5kopiavm3-x33d5-kopia-cache    |     24597 |  3219.6678514480590820 |         1 |    4.35546875 |  134.0382924699277354 |          20 |         108
 t5kopiavm3-x33d5-kopia-target   |      5168 |     40202.155848503113 |         0 |             4 | 7965.7522424278613584 |          27 |          66
 t5kopiavm3-x3436-kopia-cache    |     25192 |  3291.0787506103515625 |         1 | 4.15185546875 |  133.7751921492934268 |          20 |         108
 t5kopiavm3-x3436-kopia-target   |      5354 |     41862.813274383545 |         0 |             4 | 8006.6344402257657822 |          27 |          66
 t5kopiavm3-x3483-kopia-cache    |     25439 |  3329.1220369338989258 |         1 |  4.2470703125 |  134.0076640520583555 |          20 |         108
 t5kopiavm3-x3483-kopia-target   |      5453 |     42733.035858154297 |         0 |             4 | 8024.6889269668072617 |          27 |          66
 t5kopiavm3-x34d7-kopia-cache    |     26086 |  3348.8181562423706055 |         1 |     4.5703125 |  131.4570954532004717 |          20 |         108
 t5kopiavm3-x34d7-kopia-target   |      5513 |     43076.002804756165 |         0 |             4 | 8001.0569330800494287 |          27 |          66
