x2a00;x2a4c;5599;701.3646345138549805;1219;206.5603876113891602;31601;100.0502738952636719;35981;594.85452079773
x2a4c;x2aaf;3105;925.2410049438476563;1223;190.2691831588745117;27800;149.9097375869750977;29682;884.88155937195
x2aaf;x2af8;5956;619.0653343200683594;1231;645.3771314620971680;27767;49.5052757263183594;32492;23.19347858429
x2af8;x2b81;91228;2621.1467514038085938;71926;2276.2138729095458984;27925;158.9595317840576172;47227;503.89241027832
x2b81;x2bcb;7074;293.2435026168823242;17331;399.1233997344970703;29382;171.6946983337402344;19125;65.814801216125
x2bcb;x2c15;4742;758.6097078323364258;453;127.7552423477172852;29302;130.3088550567626953;33591;761.16332054138
x2c15;x2c80;6617;531.4862947463989258;2469;338.8818130493164063;29214;86.2085428237915039;33362;278.81302452087
x2c80;x2ccb;7954;1500.5769309997558594;756;763.7448940277099609;28997;62.0892114639282227;36195;798.92124843597
x2ccb;x2d17;7601;470.7569246292114258;707;138.9878282546997070;30163;154.4656448364257813;37057;486.23474121094
x2d17;x2d6b;7498;977.6371955871582031;7249;542.7271680831909180;30365;101.6704931259155273;30614;536.58052062988
x2d6b;x2dbf;27472;604.7662334442138672;3551;137.0581684112548828;31126;47.6216821670532227;55047;515.32974720001
x2dbf;x2e0c;6107;542.4171295166015625;3754;87.3157873153686523;31269;69.6054649353027344;33622;524.70680713654
x2e0c;x2e57;5755;705.7444114685058594;805;252.1070423126220703;31719;89.1030969619750977;36669;542.74046611786
x2e57;x2eb4;6641;1638.3805990219116211;734;186.7632579803466797;32174;58.8027973175048828;38081;1510.4201383591
x2eb4;x2efd;15594;698.3992567062377930;12371;269.7223148345947266;31887;97.0960693359375000;35110;525.77301120758
x2efd;x3001;86768;7545.8923025131225586;31079;472.2377367019653320;31835;153.6681385040283203;87524;7227.3227043152
x3001;x30da;52131;2494.9535560607910156;104363;7276.1821155548095703;33886;136.2832641601562500;-18346;-4644.9452953339
x30da;x312a;30931;1136.6384668350219727;43024;2254.2801160812377930;33842;77.9623041152954102;21749;-1039.6793451309
x312a;x31a3;7213;927.2265596389770508;1994;400.8050193786621094;35222;30.6970367431640625;40441;557.11857700348
x31a3;x31ec;5108;723.6561489105224609;256;37.9021959304809570;35999;43.1386003494262695;40851;728.89255332947
x31ec;x323b;6123;1219.0967569351196289;1269;112.2023963928222656;36326;95.8970079421997070;41180;1202.7913684845
x323b;x3288;3836;714.0963077545166016;354;64.6195211410522461;36749;60.3353786468505859;40231;709.81216526031
x3288;x32e1;8202;1038.9171171188354492;4407;289.9953536987304688;36687;60.0958967208862305;40482;809.01766014099
x32e1;x3333;4643;533.2342939376831055;690;75.4152002334594727;37432;111.1329116821289063;41385;568.95200538635
x3333;x338a;7952;1886.1642665863037109;4809;766.2161350250244141;37655;20.3364076614379883;40798;1140.2845392227
x338a;x33d5;5070;1044.0552911758422852;1639;596.8578824996948242;38868;35.6822547912597656;42299;482.87966346741
x33d5;x3436;4270;1806.4249477386474609;14291;777.3262271881103516;2752;109.6278085708618164;-7269;1138.7265291214
x3436;x3483;3466;970.2814321517944336;290;47.3269948959350586;3081;66.2876682281494141;6257;989.24210548401
x3483;x34d7;4334;998.9499197006225586;1898;980.3593978881835938;3830;74.4017925262451172;6266;92.992314338684
